Generic,Brand,Class,Adverse reactions,Mechanism
quetiapine,SEROQUEL; SEROQUEL XR,Atypical antipsychotic,Musculoskeletal Stiffness Accidental Overdose Acne Arthralgia Lethargy Pallor Stomach Discomfort Syncope Vision Blurred Constipation Ear Pain Paraesthesia Sinus Congestion Thirst Adverse Reactions Associated with Extrapyramidal Symptoms in the -Controlled Trial in Adolescent Patients with Schizophrenia (6-week duration) Quetiapine Quetiapine All Quetiapine n n n n Dystonic event Parkinsonism Akathisia Dyskinetic event Other Extrapyramidal Event Adverse Reactions Associated with Extrapyramidal Symptoms in a -Controlled Trial in Children and Adolescent Patients with Bipolar I Mania (3-week duration) There were no adverse experiences with the of dystonic or dyskinetic events. Quetiapine Quetiapine All Quetiapine n n n n Parkinsonism Akathisia Other Extrapyramidal Event,"The mechanism of action of quetiapine in the listed indications is unclear. The active metabolite, N-desalkyl quetiapine (norquetiapine), has similar activity at D 2 , but greater activity at 5HT 2A receptors, than the parent drug (quetiapine)."
ramelteon,ROZEREM,Melatonin Receptor Agonist,. Incidence of subjects) of Treatment-Emergent Adverse Events MedDRA Ramelteon Somnolence Fatigue Dizziness Nausea Insomnia exacerbated,"Ramelteon is a melatonin receptor agonist with both high affinity for melatonin MT 1and MT 2receptors and relative selectivity over the MT 3receptor. The activity of ramelteon at the MT 1and MT 2receptors is believed to contribute to its sleep- promoting properties, as these receptors, acted upon by endogenous melatonin, are thought to be involved in the maintenance of the circadian rhythm underlying the normal sleep-wake cycle."
rasagiline,AZILECT,Monoamine oxidase inhibitor,respiratory tract infection Orthostatic hypotension Rasagiline Rasagiline of patients of patients of patients Dyskinesia Accidental injury Nausea Headache Fall Weight loss Constipation Postural hypotension Arthralgia Vomiting Dry mouth Rash Somnolence Abdominal pain Anorexia Diarrhea Ecchymosis Dyspepsia Paresthesia Abnormal dreams Hallucinations Ataxia Dyspnea Infection Neck pain Sweating Tenosynovitis Dystonia Gingivitis Hemorrhage Hernia Myasthenia,"Rasagiline is a selective, irreversible MAO-B inhibitor indicated for the treatment of idiopathic Parkinson’s disease. The selectivity for inhibiting MAO-B diminishes in a dose-related manner."
risperidone,PERSERIS; RISPERDAL,Atypical antipsychotic,"musculoskeletal stiffness, parkinsonism, cogwheel rigidity, akinesia, bradykinesia, hypokinesia, masked facies, muscle rigidity, and Parkinson's disease. Akathisia includes akathisia and restlessness. Dystonia includes dystonia, muscle spasms, muscle contractions involuntary, muscle contracture, oculogyration, tongue paralysis. Tremor includes tremor and parkinsonian rest tremor. System/Organ Class Adverse Reaction Risperidone Tablets 2–8 per day >8–16 per day Cardiac Disorders Tachycardia Eye Disorders Vision blurred Gastrointestinal Disorders Nausea Constipation Dyspepsia Dry mouth Abdominal discomfort Salivary hypersecretion Diarrhea General Disorders Fatigue Chest pain Asthenia Infections and Infestations Nasopharyngitis Upper respiratory tract infection Sinusitis Urinary tract infection Investigations Blood creatine phosphokinase increased Heart rate increased Musculoskeletal and Connective Tissue Disorders Back pain Arthralgia Pain in extremity Nervous System Disorders Parkinsoni",The mechanism of action of risperidone in schizophrenia is unclear. The drug's therapeutic activity in schizophrenia could be mediated through a combination of dopamine Type 2 (D 2 ) and serotonin Type 2 (5HT 2 ) receptor antagonism.
rivastigmine,EXELON,Cholinesterase Inhibitor,"Nervous System Increased Sweating Syncope Body as a Whole Fatigue Asthenia Malaise Decreased Weight Cardiovascular Disorders, General Hypertension Central and Peripheral Nervous System Dizziness Headache Somnolence Tremor Gastrointestinal System Nausea Vomiting Diarrhea Anorexia Abdominal Pain Dyspepsia Psychiatric Disorders Insomnia Confusion Depression Anxiety Hallucination Aggressive Reaction Resistance Mechanism Disorders Urinary Tract Infection Active-Controlled Study -Controlled Study /Adverse Reaction Rivastigmine Tartrate Rivastigmine Tartrate Percent of Patients with any Adverse Event Gastrointestinal Disorders Nausea Vomiting Diarrhea Upper Abdominal Pain Salivary hypersecretion General Disorders and Administrative Site Conditions Fall Fatigue Asthenia Metabolism and Nutritional Disorders Anorexia - Decreased Appetite Dehydration Nervous System Disorders Tremor Dizziness Headache Somnolence Parkinson’s Disease (worsening) - Bradykinesia Dyskinesia Cogwheel rigidity Hypokinesi","Although the precise mechanism of action of rivastigmine is unknown, it is thought to exert its therapeutic effect by enhancing cholinergic function. This is accomplished by increasing the concentration of acetylcholine through reversible inhibition of its hydrolysis by cholinesterase."
ropinirole,REQUIP,Nonergot Dopamine Agonist,"nervous system Flushing Dry mouth Increased sweating Body as a whole Asthenic condition b Chest pain Dependent edema Leg edema Pain Cardiovascular general Hypertension Hypotension Orthostatic symptoms Syncope Central/peripheral nervous system Dizziness Hyperkinesia Hypesthesia Vertigo Gastrointestinal Abdominal pain Anorexia Dyspepsia Flatulence Nausea Vomiting Heart rate/rhythm Extrasystoles Atrial fibrillation Palpitation Tachycardia Metabolic/nutritional Increased alkaline phosphatase Psychiatric Amnesia Impaired concentration Confusion Hallucination Somnolence Yawning Reproductive male Impotence Resistance mechanism Viral infection Respiratory Bronchitis Dyspnea Pharyngitis Rhinitis Sinusitis Urinary Urinary tract infection Vascular extracardiac Peripheral ischemia Vision Eye abnormality Abnormal vision Xerophthalmia a Patients may have reported multiple adverse reactions during the trial or at discontinuation; thus, patients may be included in more than one category. b Asthenic co","Ropinirole is a non-ergoline dopamine agonist. The precise mechanism of action of ropinirole as a treatment for Parkinson’s disease is unknown, although it is thought to be related to its ability to stimulate dopamine D 2 receptors within the caudate-putamen in the brain."
rotigotine,NEUPRO,Nonergot Dopamine Agonist,General Disorders and Administration Site Conditions withdrawal symptoms Nervous System Disorders Dropped head syndrome Musculoskeletal and connective tissue disorders: Rhabdomyolysis,"Rotigotine is a non-ergoline dopamine agonist. The precise mechanism of action of rotigotine as a treatment for Parkinson's disease is unknown, although it is thought to be related to its ability to stimulate dopamine receptors within the caudate-putamen in the brain."
safinamide,XADAGO,Monoamine oxidase-B inhibitor,Percentage of Patients with Adverse Reactions with an Incidence ≥ in the XADAGO Group and Greater than in Studies and 2. XADAGO XADAGO Adverse Reaction Dyskinesia Fall Nausea Insomnia Orthostatic hypotension Anxiety Cough Dyspepsia,The precise mechanism by which XADAGO exerts its therapeutic effects in PD is unknown. XADAGO is an inhibitor of monoamine oxidase B (MAO-B).
secobarbital,,Barbiturate,,
selegiline,ELDEPRYL; EMSAM,Monoamine oxidase inhibitor,"INCIDENCE OF TREATMENT-EMERGENT ADVERSE EXPERIENCES IN THE -CONTROLLED CLINICAL TRIAL Adverse Event Number of Patients Reporting Events selegiline hydrochloride Nausea Dizziness/Light-headed/Fainting Abdominal Pain Confusion Hallucinations Dry mouth Vivid Dreams Dyskinesias Headache The following events were reported once in either or both groups: Ache, generalized Anxiety/Tension Anemia Diarrhea Hair Loss Insomnia Lethargy Leg pain Low back pain Malaise Palpitations Urinary Retention Weight Loss","The mechanisms accounting for selegiline's beneficial adjunctive action in the treatment of Parkinson's disease are not fully understood. Inhibition of monoamine oxidase, type B, activity is generally considered to be of primary importance; in addition, there is evidence that selegiline may act through other mechanisms to increase dopaminergic activity."
sertraline,ZOLOFT,Selective serotonin reuptake inhibitor,Cardiac disorders Palpitations Eye disorders Visual impairment Gastrointestinal Disorders Nausea Diarrhea/Loose Stools Dry mouth Dyspepsia Constipation Vomiting General disorders and administration site conditions Fatigue Metabolism and nutrition disorders Decreased appetite Nervous system disorders Dizziness Somnolence Tremor Psychiatric Disorders Insomnia Agitation Libido Decreased Reproductive system and breast disorders Ejaculation failure Erectile dysfunction Ejaculation disorder Male sexual dysfunction Skin and subcutaneous tissue disorders Hyperhidrosis Sertraline Hydrochloride Men only Ejaculation failure Libido decreased Erectile dysfunction Ejaculation disorder Male sexual dysfunction Women only Libido decreased,Sertraline potentiates serotonergic activity in the central nervous system through inhibition of neuronal reuptake of serotonin (5-HT). 12.2
sodium valproate,,Antimanic Agent,Nervous System Dizziness Euphoria Hypesthesia Nervousness Paresthesia Somnolence Tremor Respiratory Pharyngitis Special Senses Taste Perversion . Adverse Reactions Reported by ≥ of Patients Treated with Divalproex Sodium During -Controlled Trial of Adjunctive Therapy for Complex Partial Seizures /Reaction Divalproex Sodium Body as a Whole Headache Asthenia Fever Gastrointestinal System Nausea Vomiting Abdominal Pain Diarrhea Anorexia Dyspepsia Constipation Nervous System Somnolence Tremor Dizziness Diplopia Amblyopia/Blurred Vision Ataxia Nystagmus Emotional Lability Thinking Abnormal Amnesia Respiratory System Flu Syndrome Infection Bronchitis Rhinitis Other Alopecia Weight Loss . Adverse Reactions Reported by ≥ of Patients in the High Dose Group in the Controlled Trial of Valproate Monotherapy for Complex Partial Seizures Headache was the only adverse reaction that occurred in ≥ of patients in the high dose group and at an equal or greater incidence in the low dose group. /Reaction H,The mechanisms by which valproate exerts its therapeutic effects have not been established. Valproate sodium exists as the valproate ion in the blood.
suvorexant,BELSOMRA,Orexin Receptor Antagonist,"Gastrointestinal Disorders Diarrhea Dry mouth Infections and Infestations Upper respiratory tract infection Nervous System Disorders Headache Somnolence Dizziness Psychiatric Disorders Abnormal dreams Respiratory, Thoracic and Mediastinal Disorders Cough",The mechanism of action of suvorexant in the treatment of insomnia is presumed to be through antagonism of orexin receptors. Blocking the binding of wake-promoting neuropeptides orexin A and orexin B to receptors OX1R and OX2R is thought to suppress wake drive.
tasimelteon,HETLIOZ,Melatonin Receptor Agonist,"respiratory or urinary tract infection To report SUSPECTED ADVERSE REACTIONS, contact Apotex Corp. at 1-800-706-5575 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch . Clinical Trials Experience More than subjects have been treated with at least one dose of tasimelteon, of which more than have been treated for > weeks and more than have been treated for > year. Non-24-Hour Sleep-Wake Disorder (Non-24) A 26-week, parallel-arm -controlled study (Study evaluated tasimelteon compared to in patients with Non-24. A randomized-withdrawal, -controlled study of weeks duration (Study also evaluated tasimelteon compared to in patients with Non-24. In -controlled studies, of patients exposed to tasimelteon discontinued treatment due to an adverse event, compared with of patients who received . shows the incidence of adverse reactions from Study 1. Adverse Reactions in Study Tasimelteon Headache Alanine aminotransferase increased Nightmare/abnormal dreams Upper respiratory tract infection Urinary t","The mechanism by which tasimelteon exerts its therapeutic effect in patients with Non-24 is unclear. However, tasimelteon is an agonist at melatonin MT 1 and MT 2 receptors which are thought to be involved in the control of circadian rhythms."
temazepam,RESTORIL,Benzodiazepine,Temazepam Incidence Incidence Drowsiness Headache Fatigue Nervousness Lethargy Dizziness Nausea Hangover Anxiety Depression Dry Mouth Diarrhea Abdominal Discomfort Euphoria Weakness Confusion Blurred Vision Nightmares Vertigo,"If the drug has a short elimination half-life, it is possible that a relative deficiency of the drug, or, if appropriate, its active metabolites (i.e., in relationship to the receptor site) may occur at some point in the interval between each night’s use. Pharmacokinetics In a single and multiple dose absorption, distribution, metabolism, and excretion (ADME) study, using 3 H labeled drug, temazepam was well absorbed and found to have minimal (8%) first pass metabolism."
tetrazepam,,Benzodiazepine,,
thiopental,,Barbiturate,,
thioridazine,,Typical antipsychotic,"Nervous System Drowsiness may be encountered on occasion, especially where large doses are given early in treatment. Generally, this effect tends to subside with continued therapy or a reduction in dosage. Pseudoparkinsonism and other extrapyramidal symptoms may occur but are infrequent. Nocturnal confusion, hyperactivity, lethargy, psychotic reactions, restlessness, and headache have been reported but are extremely rare. Autonomic Nervous System Dryness of mouth, blurred vision, constipation, nausea, vomiting, diarrhea, nasal stuffiness, and pallor have been seen. Endocrine System Galactorrhea, breast engorgement, amenorrhea, inhibition of ejaculation, and peripheral edema have been described. Skin Dermatitis and skin eruptions of the urticarial type have been observed infrequently. Photosensitivity is extremely rare. Cardiovascular System Thioridazine produces a dose related prolongation of the QTc interval, which is associated with the ability to cause Torsades de pointes type arrhy","The basic pharmacological activity of thioridazine is similar to that of other phenothiazines, but is associated with minimal extrapyramidal stimulation. However, thioridazine has been shown to prolong the QTc interval in a dose dependent fashion."
thiothixene,,Typical antipsychotic,"cardiac arrest or asphyxia due to failure of the cough reflex. In others, the cause could not be determined nor could it be established that death was due to phenothiazine administration.",
tiagabine,GABITRIL,Central Nervous System Agent,Musculoskeletal Myasthenia Nervous System Dizziness Asthenia Somnolence Nervousness Tremor Difficulty with Concentration/Attention Insomnia Ataxia Confusion Speech Disorder Difficulty with Memory Paresthesia Depression Emotional Lability Abnormal Gait Hostility Nystagmus Language Problems Agitation Respiratory System Pharyngitis Cough Increased Skin and Appendages Rash Pruritus Treatment-Emergent Adverse Event Incidence in Study (events in at least of patients treated with tiagabine HCl or and numerically more frequent than in the group) /COSTART Term Tiagabine HCl Tiagabine HCl Body as a Whole Accidental Injury Infection Flu Syndrome Pain Abdominal Pain Digestive System Diarrhea Hemic and Lymphatic System Ecchymosis Musculoskeletal System Myalgia Nervous System Dizziness Asthenia Tremor Somnolence Nervousness Difficulty with Concentration/Attention Ataxia Depression Insomnia Abnormal Gait Hostility Respiratory System Pharyngitis Special Senses Amblyopia Urogenital System Urinary Tract,"Mechanism of Action The precise mechanism by which tiagabine exerts its antiseizure effect is unknown, although it is believed to be related to its ability, documented in in vitro experiments, to enhance the activity of gamma aminobutyric acid (GABA), the major inhibitory neurotransmitter in the central nervous system. These experiments have shown that tiagabine binds to recognition sites associated with the GABA uptake carrier."
tolcapone,TASMAR,Catechol-O-methyltransferase inhibitor,Respiratory Tract Infection Falling Sweating Increased Urinary Tract Infection Xerostomia Abdominal Pain Syncope Urine Discoloration Dyspepsia Influenza Dyspnea Balance Loss Flatulence Hyperkinesia Chest Pain Hypotension Paresthesia Stiffness Arthritis Chest Discomfort Hypokinesia Micturition Disorder Pain Neck Burning Sinus Congestion Agitation Bleeding Dermal Irritability Mental Deficiency Hyperactivity Malaise Panic Reaction Tumor Skin Cataract Euphoria Fever Alopecia Eye Inflamed Hypertonia Tumor Uterus,"Mechanism of Action: Tolcapone is a selective and reversible inhibitor of catechol- O -methyltransferase (COMT). In the presence of a decarboxylase inhibitor, COMT becomes the major metabolizing enzyme for levodopa catalyzing the metabolism to 3-methoxy-4-hydroxy-L-phenylalanine (3-OMD) in the brain and periphery."
topiramate,EPRONTIA; QSYMIA,Other antiepileptics,"General Disorders Asthenia Fever Leg Pain Central & Peripheral Nervous System Disorders Paresthesia Dizziness Ataxia Hypoesthesia Hypertonia Involuntary muscle contractions Vertigo Gastro-Intestinal System Disorders Constipation Diarrhea Gastritis Dry mouth Liver and Biliary System Disorders Increase in Gamma-GT Metabolic and Nutritional Disorders Weight loss Platelet, Bleeding & Clotting Disorders Epistaxis Psychiatric Disorders Anorexia Anxiety Cognitive problems Confusion Depression Difficulty with concentration or attention Difficulty with memory Insomnia Decrease in libido Mood problems Personality disorder (behavior problems) Psychomotor slowing Somnolence Red Blood Cell Disorders Anemia Reproductive Disorders, Female Intermenstrual bleeding Vaginal hemorrhage Resistance Mechanism Disorders Infection Viral infection Respiratory System Disorders Bronchitis Upper respiratory tract infection Rhinitis Sinusitis Skin and Appendages Disorders Alopecia Pruritus Rash Acne Special Senses","The precise mechanisms by which topiramate exerts its anticonvulsant and preventive migraine effects are unknown; however, preclinical studies have revealed four properties that may contribute to topiramate's efficacy for epilepsy and the preventive treatment of migraine."
tranylcypromine,PARNATE,Monoamine oxidase inhibitor,"Psychiatric disorders: excessive stimulation/overexcitement, manic symptoms/hypomania, agitation, insomnia, anxiety, confusion, disorientation, loss of libido Nervous system disorders: dizziness, restlessness/akathisia, akinesia, ataxia, myoclonic jerks, tremor, hyperreflexia, muscle spasm, paresthesia, numbness, memory loss, sedation, drowsiness, dysgeusia, headaches (without blood pressure elevation) Eye disorders: blurred vision, nystagmus Ear and labyrinth disorders: tinnitus Cardiac disorders: tachycardia, palpitations Vascular disorders: hypertensive crisis, hypertension, hypotension (including postural hypotension with syncope) Gastrointestinal disorders: diarrhea, constipation, nausea, abdominal pain, dry mouth, fissuring in corner of mouth Hepatobiliary disorders: hepatitis, elevated aminotransferases Skin and subcutaneous tissue disorders: localized scleroderma, flare-up of cystic acne, urticaria, rash, alopecia, sweating Renal and urinary disorders: urinary retention, urinar","The mechanism of action of tranylcypromine tablets as an antidepressant is not fully understood, but is presumed to be linked to potentiation of monoamine neurotransmitter activity in the central nervous system (CNS) resulting from its irreversible inhibition of the enzyme monoamine oxidase (MAO). 12.2"
trazodone,RALDESY,Selective serotonin reuptake inhibitor,Gastrointestinal Abdominal/Gastric Disorder Diarrhea Nausea/Vomiting Musculoskeletal Aches/Pains Neurological Incoordination Tremors Other Eyes Red/Tired/Itching Head Full-Heavy Malaise Nasal/Sinus Congestion Weight Gain Weight Loss,"The mechanism of trazodone's antidepressant action is not fully understood, but is thought to be related to its enhancement of serotonergic activity in the CNS. Trazodone is both a selective serotonin reuptake inhibitor (SSRI) and a 5HT2 receptor antagonist and the net result of this action on serotonergic transmission and its role in trazodone's antidepressant effect is unknown."
triazolam,HALCION,Benzodiazepine,Nervous System Drowsiness Headache Dizziness Nervousness Light-headedness Coordination disorders/ataxia Gastrointestinal Nausea/vomiting,Triazolam exerts its effect for the short-term treatment of insomnia through binding to the benzodiazepine site of the gamma-aminobutyric acid-A (GABA A ) receptors in the brain and enhances GABA-mediated synaptic inhibition. Triazolam is a benzodiazepine.
trifluoperazine,,Typical antipsychotic,"nervous system depressants (opiates, analgesics, antihistamines, barbiturates, alcohol), atropine, heat, organophosphorus insecticides; autonomic reactions (dryness of mouth, nasal congestion, headache, nausea, constipation, obstipation, adynamic ileus, ejaculatory disorders/impotence, priapism, atonic colon, urinary retention, miosis and mydriasis); reactivation of psychotic processes, catatonic-like states; hypotension (sometimes fatal); cardiac arrest; blood dyscrasias (pancytopenia, thrombocytopenic purpura, leukopenia, agranulocytosis, eosinophilia, hemolytic anemia, aplastic anemia); liver damage (jaundice, biliary stasis); endocrine disturbances (hyperglycemia, hypoglycemia, glycosuria, lactation, galactorrhea, gynecomastia, menstrual irregularities, false-positive pregnancy tests); skin disorders (photosensitivity, itching, erythema, urticaria, eczema up to exfoliative dermatitis); other allergic reactions (asthma, laryngeal edema, angioneurotic edema, anaphylactoid reactions);",
trihexyphenidyl,,Muscarinic antagonist,"psychiatric manifestations such as delusions and hallucinations, plus one doubtful case of paranoia all of which may occur with any of the atropine-like drugs, have been rarely reported with trihexyphenidyl hydrochloride. Patients with arteriosclerosis or with a history of idiosyncrasy to other drugs may exhibit reactions of mental confusion, agitation, disturbed behavior, or nausea and vomiting. Such patients should be allowed to develop a tolerance through the initial administration of a small dose and gradual increase in dose until an effective level is reached. If a severe reaction should occur, administration of the drug should be discontinued for a few days and then resumed at a lower dosage. Psychiatric disturbances can result from indiscriminate use (leading to overdosage) to sustain continued euphoria. Potential side effects associated with the use of any atropine-like drugs include constipation, drowsiness, urinary hesitancy or retention, tachycardia, dilation of the pupil, i","Trihexyphenidyl HCl is the substituted piperidine salt, 3-(1-piperidyl)-1-phenylcyclohexyl-1-propanol hydrochloride, which exerts a direct inhibitory effect upon the parasympathetic nervous system. It also has a relaxing effect on smooth musculature; exerted both directly upon the muscle tissue itself and indirectly through an inhibitory effect upon the parasympathetic nervous system."
trimethadione,,Central Nervous System Agent,,
trimethobenzamide,TIGAN,Antiemetic,"Nervous system disorders: Parkinson-like symptoms, coma, convulsions, opisthotonos, dizziness, drowsiness, headache, Psychiatric disorders: disorientation, depression of mood Eye disorders: blurred vision Hematologic disorders: blood dyscrasias Hepatobiliary disorders: jaundice Immune system disorders: hypersensitivity, including angioedema and allergic-type skin reactions Gastrointestinal disorders: diarrhea Musculoskeletal disorders: muscle cramps Adverse reactions include hypersensitivity reactions and Parkinson-like symptoms; blood dyscrasias, blurring of vision, coma, convulsions, depression of mood, diarrhea, disorientation, dizziness, drowsiness, headache, jaundice, muscle cramps, and opisthotonos. To report SUSPECTED ADVERSE REACTIONS, contact Chartwell RX, LLC. at 1-845-232-1683 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch .","The mechanism of action of trimethobenzamide as determined in animals is obscure, but may involve the chemoreceptor trigger zone (CTZ), an area in the medulla oblongata through which emetic impulses are conveyed to the vomiting center; direct impulses to the vomiting center apparently are not similarly inhibited. In dogs pretreated with trimethobenzamide HCl, the emetic response to apomorphine is inhibited, while little or no protection is afforded against emesis induced by intragastric copper sulfate."
trimipramine,,Tricyclic Antidepressant,"Psychiatric Confusional states (especially the elderly) with hallucinations, disorientation, delusions; anxiety, restlessness, agitation; insomnia and nightmares; hypomania; exacerbation of psychosis. Neurological Numbness, tingling, paresthesias of extremities; incoordination, ataxia, tremors; peripheral neuropathy; extrapyramidal symptoms; seizures, alterations in EEG patterns; tinnitus; syndrome of inappropriate ADH (antidiuretic hormone) secretion. Anticholinergic Dry mouth and, rarely, associated sublingual adenitis; blurred vision, disturbances of accommodation, mydriasis, constipation, paralytic ileus; urinary retention, delayed micturition, dilation of the urinary tract. Allergic Skin rash, petechiae, urticaria, itching, photosensitization, edema of face and tongue. Hematologic Bone marrow depression including agranulocytosis, eosinophilia; purpura; thrombocytopenia. Leukocyte and differential counts should be performed in any patient who develops fever and sore throat during t",It does not act by inhibition of the monoamine oxidase system. Trimipramine maleate capsules are an antidepressant with an anxiety-reducing sedative component to its action.
valbenazine,INGREZZA,VMAT2 inhibitor,"General Disorders Somnolence (somnolence, fatigue, sedation) Nervous System Disorders Anticholinergic effects (dry mouth, constipation, disturbance in attention, vision blurred, urinary retention) Balance disorders/fall (fall, gait disturbance, dizziness, balance disorder) Headache Akathisia (akathisia, restlessness) Gastrointestinal Disorders Vomiting Nausea Musculoskeletal Disorders Arthralgia Adverse Reactions in the -Controlled Study of 12-week Treatment Duration Reported at ≥4% and > – Chorea Associated with Huntington’s Disease Adverse Reaction INGREZZA Nervous System Disorders Somnolence, lethargy, sedation Akathisia General Disorders and Administration Site Conditions Fatigue Skin and Subcutaneous Tissue Disorders Urticaria Rash Gastrointestinal Disorders Diarrhea Nausea Psychiatric Disorders Insomnia, middle insomnia Depression, depressed mood Musculoskeletal D isorders Back pain","The mechanism of action of valbenazine for the treatment of tardive dyskinesia and chorea in patients with Huntington’s disease is unclear, but is thought to be mediated through the reversible inhibition of vesicular monoamine transporter 2 (VMAT2), a transporter that regulates monoamine uptake from the cytoplasm to the synaptic vesicle for storage and release. 12.2"
valproate,DEPAKOTE,Mood Stabilizer,Nervous System Dizziness Euphoria Hypesthesia Nervousness Paresthesia Somnolence Tremor Respiratory Pharyngitis Special Senses Taste Perversion . Adverse Reactions Reported by ≥ of Patients Treated with Divalproex Sodium During -Controlled Trial of Adjunctive Therapy for Complex Partial Seizures /Reaction Divalproex Sodium Body as a Whole Headache Asthenia Fever Gastrointestinal System Nausea Vomiting Abdominal Pain Diarrhea Anorexia Dyspepsia Constipation Nervous System Somnolence Tremor Dizziness Diplopia Amblyopia/Blurred Vision Ataxia Nystagmus Emotional Lability Thinking Abnormal Amnesia Respiratory System Flu Syndrome Infection Bronchitis Rhinitis Other Alopecia Weight Loss . Adverse Reactions Reported by ≥ of Patients in the High Dose Group in the Controlled Trial of Valproate Monotherapy for Complex Partial Seizures Headache was the only adverse reaction that occurred in ≥ of patients in the high dose group and at an equal or greater incidence in the low dose group. /Reaction H,The mechanisms by which valproate exerts its therapeutic effects have not been established. Valproate sodium exists as the valproate ion in the blood.
valproic acid,,Mood Stabilizer,Gastrointestinal System Nausea Vomiting Abdominal Pain Diarrhea Anorexia Dyspepsia Constipation Nervous System Somnolence Tremor Dizziness Diplopia Amblyopia/Blurred Vision Ataxia Nystagmus Emotional Lability Thinking Abnormal Amnesia Respiratory System Flu Syndrome Infection Bronchitis Rhinitis Other Alopecia Weight Loss . Adverse Reactions Reported by ≥ of Patients in the High Dose Group in the Controlled Trial of Divalproex Sodium Monotherapy for Complex Partial Seizures /Reaction High Dose Low Dose Body as a Whole Asthenia Digestive System Nausea Diarrhea Vomiting Abdominal Pain Anorexia Dyspepsia Hemic/Lymphatic System Thrombocytopenia Ecchymosis Metabolic/Nutritional Weight Gain Peripheral Edema Nervous System Tremor Somnolence Dizziness Insomnia Nervousness Amnesia Nystagmus Depression Respiratory System Infection Pharyngitis Dyspnea Skin and Appendages Alopecia Special Senses Amblyopia/Blurred Vision Tinnitus Headache was the only adverse reaction that occurred in ≥ of patients,The mechanisms by which valproate exerts its therapeutic effects have not been established. Valproic acid dissociates to the valproate ion in the gastrointestinal tract.
varenicline,CHANTIX; CHANTIX CONTINUING MONTHS OF THERAPY,Atypical antidepressant,GASTROINTESTINAL (GI) GI Signs and Symptoms Nausea Abdominal Pain Flatulence Dyspepsia Vomiting GI Motility/Defecation Conditions Constipation Gastroesophageal reflux disease Salivary Gland Conditions Dry mouth PSYCHIATRIC DISORDERS Sleep Disorder/Disturbances Insomnia Abnormal dreams Sleep disorder Nightmare NERVOUS SYSTEM Headaches Headache Neurological Disorders NEC Dysgeusia Somnolence Lethargy GENERAL DISORDERS General Disorders NEC Fatigue/Malaise/Asthenia RESPIR/THORACIC/MEDIAST Respiratory Disorders NEC Rhinorrhea Dyspnea Upper Respiratory Tract Disorder SKIN/SUBCUTANEOUS TISSUE Epidermal and Dermal Conditions Rash Pruritis METABOLISM and NUTRITION Appetite/General Nutrition Disorders Increased appetite Decreased appetite/ Anorexia Varenicline Tablets BID Adverse Events ≥1% in either treatment group Up to days after treatment Angina pectoris Chest pain Peripheral edema Hypertension Palpitations Adjudicated Cardiovascular Mortality (up to weeks) Adjudicated Nonfatal Serious Card,"Varenicline binds with high affinity and selectivity at α4β2 neuronal nicotinic acetylcholine receptors. The efficacy of varenicline tablets in smoking cessation is believed to be the result of varenicline’s activity at α4β2 sub-type of the nicotinic receptor where its binding produces agonist activity, while simultaneously preventing nicotine binding to these receptors."
venlafaxine,EFFEXOR,Selective serotonin reuptake inhibitor,"Nervous system Dizziness Insomnia Somnolence Skin and appendages Sweating Patients Receiving Venlafaxine Hydrochloride Extended-Release Capsules in Premarketing Clinical Studies Indication Venlafaxine Hydrochloride Extended-Release Capsules MDD a GAD 1,381 SAD PD 1,314 a In addition, in the premarketing assessment of venlafaxine hydrochloride tablets, multiple doses were administered to 2,897 patients in studies for MDD. Common Adverse Reactions: Percentage of Patients Reporting Adverse Reactions (≥2% and > in -controlled Studies (up to Weeks Duration) across All Indications Adverse Reaction Venlafaxine Hydrochloride Extended-Release Capsules Body as a whole Asthenia Cardiovascular system Hypertension Palpitation Vasodilatation Digestive system Anorexia Constipation Diarrhea Dry mouth Nausea Vomiting Nervous system Abnormal dreams Dizziness Insomnia Libido decreased Nervousness Paresthesia Somnolence Tremor Respiratory system Yawn Skin and appendages Sweating (including night sweats) S","The mechanism of action of venlafaxine in the treatment of MDD, GAD, SAD, and PD is unclear, but is thought to be related to the potentiation of serotonin and norepinephrine in the central nervous system, through inhibition of their reuptake. 12.2"
